z,u,v,tke
18.75,4.44,2.18,0.365
56.25,5.92,2.67,0.295
93.75,6.91,2.83,0.245
131.25,7.73,2.84,0.205
168.75,8.43,2.75,0.175
206.25,9.02,2.57,0.145
243.75,9.52,2.34,0.12
281.25,9.93,2.06,0.1
318.75,10.25,1.75,0.085
356.25,10.47,1.44,0.07
393.75,10.62,1.12,0.055
431.25,10.7,0.82,0.045
468.75,10.71,0.55,0.035
506.25,10.67,0.31,0.025
543.75,10.59,0.12,0.02
581.25,10.48,-0.02,0.015
618.75,10.36,-0.11,0.01
656.25,10.24,-0.16,0.01
693.75,10.13,-0.17,0.005
731.25,10.04,-0.15,0.005
768.75,9.99,-0.11,0.005
806.25,9.96,-0.06,0
843.75,9.95,-0.02,0
881.25,9.96,0.01,0
918.75,9.98,0.02,0
956.25,9.99,0.02,0
993.75,10,0.02,0
1031.25,9.99,0.02,0
1068.75,9.99,0.02,0
1106.25,9.99,0.01,0
1143.75,10,0.01,0
1181.25,10,0.01,0
1218.75,10,0.01,0
1256.25,10,0,0
1293.75,10,0,0
1331.25,10,0,0
1368.75,10,0,0
1406.25,10,0,0
1443.75,10,0,0
1481.25,10,0,0